Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-22-0034,Digynopora americana,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Leptoplanidae,,,,Digynopora,,americana,,,"Hyman,",bay and nearshore; hard substrate,"St. Joseph Bay, Florida",0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",4,,Hyman,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0034
Spp-22-0035,Euplana gracilis,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Leptoplanidae,,,,Euplana,,gracilis,,,"Girard,",benthic; beach and shoreline,Northwest Atlantic,0,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Girard,1850,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0035
Spp-22-0036,Zygantroplana angusta,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Leptoplanidae,,,,Zygantroplana,,angusta,,,"Verrill,",beach and shoreline; hard substrate,Northwest/Southwest Atlantic,0,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 6, 7, 17",,Verrill,1893,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0036
Spp-22-0038,Imogine oculiferus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Stylochidae,,,,Imogine,,oculiferus,,,"Girard,",benthic; beach and shoreline,Florida to North Carolina,2,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 9, 10, 17",,Girard,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0038
Spp-22-0039,Stylochus ellipticus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Stylochidae,,,,Stylochus,,ellipticus,,,"Girard,",benthic; beach and shoreline,Northwest Atlantic,0,3,A1; B1; G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Girard,1850,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0039
Spp-22-0040,Stylochus frontalis,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Acotylea,,,,,,Stylochidae,,,,Stylochus,,frontalis,,,"Verrill,",benthic; beach and shoreline,Northwest Atlantic,2,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 10, 17",,Verrill,1893,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0040
Spp-22-0043,Acerotisa baiae,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Euryleptidae,,,,Acerotisa,,baiae,,,"Hyman,",unknown habitat,"Massachusetts, Florida",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 6",,Hyman,1940,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0043
Spp-22-0044,Acerotisa multicelis,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Euryleptidae,,,,Acerotisa,,multicelis,,,"Hyman,",unknown habitat,"Gulf of Mexico, Caribbean",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6, 9",,Hyman,1955,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0044
Spp-22-0045,Maritigrella crozieri,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Euryleptidae,,,,Maritigrella,,crozieri,,,"Hyman,",benthic; beach and shoreline; bay and nearshore,"West Atlantic, Caribbean",0,3,C1; D1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 10, 15",,Hyman,1939,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0045
Spp-22-0046,Oligoclado floridanus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Euryleptidae,,,,Oligoclado,,floridanus,,,"Pearse,",benthic; beach and shoreline,"Florida, North Carolina",0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0046
Spp-22-0047,Prostheceraeus floridanus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Euryleptidae,,,,Prostheceraeus,,floridanus,,,"Hyman,",benthic; endemic to Gulf of Mexico,Northwest Florida,,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",9,,Hyman,1955,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0047
Spp-22-0049,Pericelis orbicularis,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Pericelididae,,,,Pericelis,,orbicularis,,,"Schmarda,",benthic; beach and shoreline,"Gulf of Mexico, Caribbean",0,2,G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Schmarda,1859,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0049
Spp-22-0051,Enchiridium periommatum,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Prosthiostomidae,,,,Enchiridium,,periommatum,,,"Bock,",benthic; beach and shoreline,"Northwest Florida, Caribbean",12,12,A2; B2,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 9",,Bock,1913,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0051
