Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-40-0001,Lissomyema exilii,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Lissomyema,,exilii,,"Thalassema mellita (Conn, 1886) Lissomyema mellita (Fisher, 1946)",Müller,benthic; soft substrate; infaunal,"Florida Gulf coast, North Carolina, Brazil",3,10,A1; A2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 3, 5, 14, 17",1,Müller,1883,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0001
Spp-40-0002,Ochaetostoma sp.,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Ochaetostoma,,sp.,,,,benthic; soft substrate; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,15,15,C2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,2,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0002
Spp-40-0003,Thalassema hartmani,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Thalassema,,hartmani,,,Fisher,benthic; soft substrate; symbiotic; infaunal,"Chesapeake Bay, North Carolina, Florida east coast, Florida Gulf coast, Texas Gulf coast",10,23,B2; H2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","2, 6, 10",3,Fisher,1947,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0003
Spp-40-0004,Thalassema philostracum,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Thalassema,,philostracum,,,Fisher,benthic; soft substrate; infaunal,"North Carolina, Florida Gulf coast, Tropical West Africa",4,77,A1; A2; A3; B1; B2; B3; C1; C2; C3,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,4,Fisher,1947,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0004
Spp-40-0005,Unidentified genus sp. A,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Unidentified genus,,sp. A,,,,benthic; soft substrate; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,32,32,A2; E2; H2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,5,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0005
Spp-40-0006,Unidentified genus sp. B,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Echiuridae,Thalassematinae,,,Unidentified genus,,sp. B,,,,benthic; soft substrate; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,12,12,A2; H2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,6,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0006
Spp-40-0007,Unidentified genus sp. C,Animalia,Echiura,,,,,,Echiuroinea,,,,,,,Bonelliidae,,,,Unidentified genus,,sp. C,,,,benthic; soft substrate; infaunal; endemic to Gulf of Mexico,Gulf of Mexico,24,55,E2,"Pilger, J. F. 2009. Echiura of the Gulf of Mexico, Pp. 797–802 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,7,,,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-40-0007
