Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-72-0004,Branchiostoma benneti,Animalia,Cephalochordata,,Amphioxiformes,,,,,,,,,,,Branchiostomidae,,,,Branchiostoma,,benneti,,,Boschung and Gunter,"benthic; burrower; soft substrate (muds, sands, clays); infaunal",northern Gulf of Mexico west of Mississippi,0,12,G1; G2; H1; H2,"Cameron, C. B. 2009. Cephalochordata of the Gulf of Mexico, Pp. 1205–1207 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 6",,Boschung & Gunter,1966,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-72-0004
Spp-72-0005,Branchiostoma caribaeum,Animalia,Cephalochordata,,Amphioxiformes,,,,,,,,,,,Branchiostomidae,,,,Branchiostoma,,caribaeum,,,Sundevall,"benthic; burrower; soft substrate (muds, sands, clays); infaunal","Brazil to West Indies, Jamaica",0,6,C1; C2; D1; D2,"Cameron, C. B. 2009. Cephalochordata of the Gulf of Mexico, Pp. 1205–1207 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","6, 8",,Sundevall,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-72-0005
Spp-72-0006,Branchiostoma floridae,Animalia,Cephalochordata,,Amphioxiformes,,,,,,,,,,,Branchiostomidae,,,,Branchiostoma,,floridae,,,Hubbs,"benthic; burrower; soft substrate (muds, sands, clays); infaunal","Florida Gulf Coast, northern Gulf of Mexico",0,3,A1; B1; G1; H1,"Cameron, C. B. 2009. Cephalochordata of the Gulf of Mexico, Pp. 1205–1207 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 6, 7",,Hubbs,1922,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-72-0006
Spp-72-0007,Branchiostoma longirostrum,Animalia,Cephalochordata,,Amphioxiformes,,,,,,,,,,,Branchiostomidae,,,,Branchiostoma,,longirostrum,,,Boschung,"benthic; burrower; soft substrate (muds, sands, clays); infaunal","Florida Gulf Coast, northern Gulf of Mexico",11,40,A2; B2; E2; F2; G2; H2,"Cameron, C. B. 2009. Cephalochordata of the Gulf of Mexico, Pp. 1205–1207 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","2, 6",,Boschung,1983,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-72-0007
Spp-72-0009,Epigonichthys lucayanus,Animalia,Cephalochordata,,Amphioxiformes,,,,,,,,,,,Epigonichthyidae,,,,Epigonichthys,,lucayanus,,,Andrews,"benthic; burrower; soft substrate (muds, sands, clays); infaunal","Jamiaca, Atlantic, Pacific",0,915,C1; C2; C3; C4; D1; D2; D3; D4,"Cameron, C. B. 2009. Cephalochordata of the Gulf of Mexico, Pp. 1205–1207 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","1, 6",,Andrews,1893,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-72-0009
