Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-70-0004,Saccoglossus caraibicus,Animalia,Hemichordata,,Enteropneusta,,,,,,,,,,,Harrimaniidae,,,,Saccoglossus,,caraibicus,,,Horst,"benthic; burrower; infaunal; soft substrate (muds, sands, clays)","Curaçao, West Indies",,,C1; C2; C3; C4; C5; C6; D1; D2; D3; D4; D5; D6,"Cameron, C. B. 2009. Hemichordata of the Gulf of Mexico, Pp. 1173–1175 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",5,,Horst,1924,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-70-0004
Spp-70-0006,Schizocardium braziliense,Animalia,Hemichordata,,Enteropneusta,,,,,,,,,,,Spengelidae,,,,Schizocardium,,braziliense,,,Spengel,"benthic; burrower; infaunal; soft substrate (muds, sands, clays)","Brazil, Texas, Louisiana",6,6,A2; B2; G2; H2,"Cameron, C. B. 2009. Hemichordata of the Gulf of Mexico, Pp. 1173–1175 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,1,Spengel,1893,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-70-0006
Spp-70-0008,Balanoglossus biminiensis,Animalia,Hemichordata,,Enteropneusta,,,,,,,,,,,Ptychoderidae,,,,Balanoglossus,,biminiensis,,,Willey,"benthic; burrower; infaunal; soft substrate (muds, sands, clays)","Bahamas, Curaçao, Tobago",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; C1; C2; C3; C4; C5; C6; D1; D2; D3; D4; D5; D6,"Cameron, C. B. 2009. Hemichordata of the Gulf of Mexico, Pp. 1173–1175 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",9,,Willey,1899,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-70-0008
Spp-70-0009,Balanoglossus jamaicensis,Animalia,Hemichordata,,Enteropneusta,,,,,,,,,,,Ptychoderidae,,,,Balanoglossus,,jamaicensis,,,Willey,"benthic; burrower; infaunal; soft substrate (muds, sands, clays)","Port of Kingston, Jamaica",,,C1; C2; C3; C4; C5; C6; D1; D2; D3; D4; D5; D6,"Cameron, C. B. 2009. Hemichordata of the Gulf of Mexico, Pp. 1173–1175 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",9,,Willey,1899,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-70-0009
Spp-70-0010,Ptychodera bahamensis,Animalia,Hemichordata,,Enteropneusta,,,,,,,,,,,Ptychoderidae,,,,Ptychodera,,bahamensis,,,Spengel,"benthic; burrower; infaunal; soft substrate (muds, sands, clays)","Bahamas, Tortugas, Bermudas, Curaçao, Tobago, St. Helena",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; C1; C2; C3; C4; C5; C6; D1; D2; D3; D4; D5; D6,"Cameron, C. B. 2009. Hemichordata of the Gulf of Mexico, Pp. 1173–1175 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",7,,Spengel,1893,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-70-0010
