Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-65-0002,Phoronis architecta,Animalia,Phoronida,,,,,,,,,,,,,,,,,Phoronis,,architecta,,,Andrews,soft substrate,cosmopolitan?,0,10,A1; A2; B1; B2; G1; G2; H1; H2,"Santagata, S. 2009. Phoronida of the Gulf of Mexico, Pp. 1133–1136 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","10, 14, 19, 21, 26","1, 2, 3",Andrews,1890,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-65-0002
Spp-65-0003,Phoronis muelleri,Animalia,Phoronida,,,,,,,,,,,,,,,,,Phoronis,,muelleri,,,(Selys-Longchamps,soft substrate,cosmopolitan,0,10,G1; G2; H1; H2,"Santagata, S. 2009. Phoronida of the Gulf of Mexico, Pp. 1133–1136 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",9,"4, 5",Selys-Longchamps,1903,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-65-0003
Spp-65-0004,Phoronis hippocrepia,Animalia,Phoronida,,,,,,,,,,,,,,,,,Phoronis,,hippocrepia,,,(Wright,hard substrate,cosmopolitan,0,10,E1; E2; F1; F2,"Santagata, S. 2009. Phoronida of the Gulf of Mexico, Pp. 1133–1136 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",9,"6, 7",Wright,1856,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-65-0004
Spp-65-0005,Unidentified Actinotroch Larvae,Animalia,Phoronida,,,,,,,,,,,,,,,,,Unidentified Actinotroch Larvae,,,,,,planktonic,unknown,,,G1; G2; G3; G4; G5; G6; H1; H2; H3; H4; H5; H6,"Santagata, S. 2009. Phoronida of the Gulf of Mexico, Pp. 1133–1136 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","14, 17, 18","8, 9",,,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-65-0005
