Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-61-0011,Mesacanthoides fibulatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Mesacanthoides,,fibulatus,,,"Wieser and Hopper,",dissolved hydrocarbon gases; dissolved hydrogen sulfide; hypersaline,"Gulf of Mexico, Atlantic coast of Florida",51,200,A2; A3; B2; B3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",31,,Wieser & Hopper,1967,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0011
Spp-61-0012,Oxyonchus striatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Enoplolaiminae,,,Oxyonchus,,striatus,,,"Keppner,",detritus; sand; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",39,,Keppner,1988,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0012
Spp-61-0013,Trileptium americanum,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Enoploidea,,Thoracostomopsidae,Tripleptiinae,,,Trileptium,,americanum,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",35,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0013
Spp-61-0014,Cylicolaimus magnus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Leptosomatidae,Cylicolaiminae,,,Cylicolaimus,,magnus,,,"Villot,",dissolved hydrocarbon gases; dissolved hydrogen sulfide; hypersaline,"Gulf of Mexico, eastern North Atlantic, North Sea, Mediterranean Sea",51,200,G2; G3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","31, 32",,Villot,1875,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0014
Spp-61-0015,Leptosomatum woodsi,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Leptosomatidae,Leptostomatinae,,,Leptosomatum,,woodsi,,,"Jensen,",dissolved hydrocarbon gases; dissolved hydrogen sulfide; hypersaline; endemic to Gulf of Mexico,Gulf of Mexico,51,200,G2; G3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","31, 32",,Jensen,1986,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0015
Spp-61-0016,Halalaimus americanus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,americanus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0016
Spp-61-0017,Halalaimus bayensis,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,bayensis,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0017
Spp-61-0018,Halalaimus brimi,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,brimi,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0018
Spp-61-0019,Halalaimus bulbocaudatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,bulbocaudatus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0019
Spp-61-0020,Halalaimus floridanus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,floridanus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0020
