"phylum","common_phylum","kingdom"
"xanthophyta","to_drop","chromista"
"xenacoelomopha","xenacoelomorpha","animalia"
"xenacoelomorpha","xenacoelomorpha","animalia"
"zoomastigina","to_drop","protozoa"
"zygomycota","to_drop","fungi"
"euglenophyta","to_drop","protozoa"
"filicopsida","to_drop","plantae"
"cephalochordata","chordata","animalia"
"liliopsida","to_drop","plantae"
"magnoliopsida","to_drop","plantae"
"urochordata","chordata","animalia"
"lichen indet.","to_drop","fungi"
"indetermined","to_drop","NA"
"indet.","to_drop","NA"
"plasmodiophoromycota","to_drop","chromista"
"miozoa","to_drop","protozoa"
