V1,V2,V3
-129.466666666667,51.4666666666667,-131
-129.4,51.4666666666667,-111
-129.333333333333,51.4666666666667,-97
-129.266666666667,51.4666666666667,-85
-129.2,51.4666666666667,-90
-129.133333333333,51.4666666666667,-91
-129.066666666667,51.4666666666667,-133
-129,51.4666666666667,-144
-128.933333333333,51.4666666666667,-164
-128.866666666667,51.4666666666667,-177
-128.8,51.4666666666667,-189
-128.733333333333,51.4666666666667,-201
-128.666666666667,51.4666666666667,-211
-128.6,51.4666666666667,-211
-128.533333333333,51.4666666666667,-201
-128.466666666667,51.4666666666667,-186
-128.4,51.4666666666667,-153
-128.333333333333,51.4666666666667,-117
-128.266666666667,51.4666666666667,-130
-128.2,51.4666666666667,-126
-128.133333333333,51.4666666666667,-98
-128.066666666667,51.4666666666667,-24
-128,51.4666666666667,-10
-127.933333333333,51.4666666666667,83
-127.866666666667,51.4666666666667,-50
-127.8,51.4666666666667,-35
-127.733333333333,51.4666666666667,-8
-127.666666666667,51.4666666666667,-13
-127.6,51.4666666666667,137
-127.533333333333,51.4666666666667,129
-127.466666666667,51.4666666666667,190
-127.4,51.4666666666667,235
-127.333333333333,51.4666666666667,117
-127.266666666667,51.4666666666667,168
-127.2,51.4666666666667,973
-127.133333333333,51.4666666666667,931
-127.066666666667,51.4666666666667,1025
-127,51.4666666666667,1206
-126.933333333333,51.4666666666667,687
-126.866666666667,51.4666666666667,1128
-126.8,51.4666666666667,1562
-126.733333333333,51.4666666666667,1660
-126.666666666667,51.4666666666667,932
-126.6,51.4666666666667,1464
-126.533333333333,51.4666666666667,1331
-126.466666666667,51.4666666666667,1278
-126.4,51.4666666666667,1363
-126.333333333333,51.4666666666667,1935
-126.266666666667,51.4666666666667,2075
-126.2,51.4666666666667,2113
-126.133333333333,51.4666666666667,2298
-126.066666666667,51.4666666666667,1771
-126,51.4666666666667,1589
-125.933333333333,51.4666666666667,1119
-125.866666666667,51.4666666666667,945
-125.8,51.4666666666667,1814
-125.733333333333,51.4666666666667,1133
-125.666666666667,51.4666666666667,500
-125.6,51.4666666666667,1909
-125.533333333333,51.4666666666667,2214
-125.466666666667,51.4666666666667,1326
-125.4,51.4666666666667,1685
-125.333333333333,51.4666666666667,2461
-125.266666666667,51.4666666666667,1654
-125.2,51.4666666666667,1955
-125.133333333333,51.4666666666667,1598
-125.066666666667,51.4666666666667,1458
-125,51.4666666666667,1524
-124.933333333333,51.4666666666667,1791
-124.866666666667,51.4666666666667,2191
-124.8,51.4666666666667,1191
-124.733333333333,51.4666666666667,2051
-124.666666666667,51.4666666666667,2378
-124.6,51.4666666666667,2147
-124.533333333333,51.4666666666667,1457
-124.466666666667,51.4666666666667,836
-124.4,51.4666666666667,1293
-124.333333333333,51.4666666666667,1318
-124.266666666667,51.4666666666667,1382
-124.2,51.4666666666667,1173
-124.133333333333,51.4666666666667,1514
-124.066666666667,51.4666666666667,1433
-124,51.4666666666667,1231
-123.933333333333,51.4666666666667,1628
-123.866666666667,51.4666666666667,1660
-123.8,51.4666666666667,1595
-123.733333333333,51.4666666666667,1496
-123.666666666667,51.4666666666667,1570
-123.6,51.4666666666667,1552
-123.533333333333,51.4666666666667,1688
-123.466666666667,51.4666666666667,1700
-123.4,51.4666666666667,1644
-123.333333333333,51.4666666666667,1569
-123.266666666667,51.4666666666667,1533
-123.2,51.4666666666667,1496
-123.133333333333,51.4666666666667,1483
-123.066666666667,51.4666666666667,1492
-123,51.4666666666667,1730
-122.933333333333,51.4666666666667,1784
-122.866666666667,51.4666666666667,1507
-122.8,51.4666666666667,1414
-122.733333333333,51.4666666666667,1471
-122.666666666667,51.4666666666667,1604
-122.6,51.4666666666667,1413
-122.533333333333,51.4666666666667,921
-122.466666666667,51.4666666666667,1195
-122.4,51.4666666666667,1132
-122.333333333333,51.4666666666667,960
-122.266666666667,51.4666666666667,506
-122.2,51.4666666666667,773
-122.133333333333,51.4666666666667,991
-122.066666666667,51.4666666666667,1166
-122,51.4666666666667,1188
-121.933333333333,51.4666666666667,1310
-121.866666666667,51.4666666666667,1125
-121.8,51.4666666666667,1152
-121.733333333333,51.4666666666667,1166
-121.666666666667,51.4666666666667,1162
-121.6,51.4666666666667,1148
-121.533333333333,51.4666666666667,1133
-129.466666666667,51.4,-182
-129.4,51.4,-164
-129.333333333333,51.4,-157
-129.266666666667,51.4,-165
-129.2,51.4,-201
-129.133333333333,51.4,-226
-129.066666666667,51.4,-232
-129,51.4,-230
-128.933333333333,51.4,-232
-128.866666666667,51.4,-226
-128.8,51.4,-223
-128.733333333333,51.4,-220
-128.666666666667,51.4,-209
-128.6,51.4,-200
-128.533333333333,51.4,-169
-128.466666666667,51.4,-155
-128.4,51.4,-135
-128.333333333333,51.4,-114
-128.266666666667,51.4,-114
-128.2,51.4,-122
-128.133333333333,51.4,-132
-128.066666666667,51.4,-65
-128,51.4,-56
-127.933333333333,51.4,-26
-127.866666666667,51.4,-18
-127.8,51.4,-2
-127.733333333333,51.4,92
-127.666666666667,51.4,165
-127.6,51.4,211
-127.533333333333,51.4,652
-127.466666666667,51.4,343
-127.4,51.4,110
-127.333333333333,51.4,274
-127.266666666667,51.4,584
-127.2,51.4,675
-127.133333333333,51.4,20
-127.066666666667,51.4,675
-127,51.4,947
-126.933333333333,51.4,1380
-126.866666666667,51.4,1346
-126.8,51.4,930
-126.733333333333,51.4,1483
-126.666666666667,51.4,1029
-126.6,51.4,1516
-126.533333333333,51.4,1094
-126.466666666667,51.4,1086
-126.4,51.4,1084
-126.333333333333,51.4,1320
-126.266666666667,51.4,990
-126.2,51.4,1810
-126.133333333333,51.4,1809
-126.066666666667,51.4,1828
-126,51.4,1707
-125.933333333333,51.4,1656
-125.866666666667,51.4,1403
-125.8,51.4,844
-125.733333333333,51.4,1438
-125.666666666667,51.4,1052
-125.6,51.4,1782
-125.533333333333,51.4,1696
-125.466666666667,51.4,1999
-125.4,51.4,2344
-125.333333333333,51.4,2670
-125.266666666667,51.4,2937
-125.2,51.4,2650
-125.133333333333,51.4,2092
-125.066666666667,51.4,1475
-125,51.4,1140
-124.933333333333,51.4,1100
-124.866666666667,51.4,2155
-124.8,51.4,1442
-124.733333333333,51.4,889
-124.666666666667,51.4,1175
-124.6,51.4,1419
-124.533333333333,51.4,1726
-124.466666666667,51.4,1381
-124.4,51.4,2300
-124.333333333333,51.4,2147
-124.266666666667,51.4,1887
-124.2,51.4,1244
-124.133333333333,51.4,1176
-124.066666666667,51.4,1437
-124,51.4,1950
-123.933333333333,51.4,2246
-123.866666666667,51.4,2441
-123.8,51.4,1944
-123.733333333333,51.4,2346
-123.666666666667,51.4,1765
